0,1,2,3,4,5,6,7,8,9,10
whole milk,cocoa drinks,,,,,,,,,
canned beer,domestic eggs,white wine,waffles,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
white bread,butter,,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
UHT-milk,other vegetables,cream cheese ,rolls/buns,,,,,,,
bottled water,tropical fruit,shopping bags,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
curd cheese,soda,,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
other vegetables,cream cheese ,yogurt,yogurt,whole milk,waffles,curd,fruit/vegetable juice,,,
meat,other vegetables,,,,,,,,,
soda,rolls/buns,napkins,salt,,,,,,,
bottled water,frozen meals,,,,,,,,,
whole milk,yogurt,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
baking powder,condensed milk,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
meat,pip fruit,,,,,,,,,
ham,other vegetables,,,,,,,,,
misc. beverages,processed cheese,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
salty snack,pickled vegetables,,,,,,,,,
fruit/vegetable juice,meat,whole milk,root vegetables,frozen meals,,,,,,
dessert,soft cheese,shopping bags,,,,,,,,
root vegetables,candy,,,,,,,,,
sugar,canned vegetables,flour,bottled water,salty snack,,,,,,
specialty chocolate,root vegetables,,,,,,,,,
specialty chocolate,coffee,,,,,,,,,
bottled water,Instant food products,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
yogurt,whipped/sour cream,long life bakery product,hard cheese,,,,,,,
bottled water,hamburger meat,pastry,,,,,,,,
meat,soda,cream cheese ,,,,,,,,
soda,sugar,,,,,,,,,
root vegetables,frozen potato products,dental care,,,,,,,,
tropical fruit,chocolate marshmallow,napkins,bottled water,,,,,,,
other vegetables,whole milk,pork,onions,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
chicken,margarine,,,,,,,,,
whipped/sour cream,chicken,,,,,,,,,
root vegetables,dessert,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
citrus fruit,sauces,,,,,,,,,
white bread,meat,domestic eggs,roll products ,,,,,,,
sugar,curd,,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
butter,candy,,,,,,,,,
chicken,chocolate,,,,,,,,,
canned beer,napkins,sparkling wine,,,,,,,,
softener,salt,whole milk,,,,,,,,
sausage,yogurt,,,,,,,,,
chicken,herbs,,,,,,,,,
pip fruit,ice cream,popcorn,soda,bottled water,rolls/buns,,,,,
beef,frozen vegetables,,,,,,,,,
pastry,sausage,soda,rolls/buns,sugar,soda,other vegetables,whole milk,softener,,
soda,whole milk,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
soups,specialty cheese,,,,,,,,,
ice cream,specialty chocolate,semi-finished bread,,,,,,,,
bottled beer,whole milk,,,,,,,,,
ice cream,whole milk,,,,,,,,,
whole milk,candy,,,,,,,,,
photo/film,vinegar,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
newspapers,yogurt,,,,,,,,,
yogurt,UHT-milk,dessert,frozen dessert,,,,,,,
bottled water,shopping bags,soda,flour,,,,,,,
newspapers,misc. beverages,,,,,,,,,
whole milk,other vegetables,pot plants,,,,,,,,
pastry,baking powder,mustard,,,,,,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
frankfurter,coffee,,,,,,,,,
pastry,berries,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
salty snack,sugar,,,,,,,,,
meat,long life bakery product,yogurt,napkins,,,,,,,
other vegetables,sausage,whole milk,butter milk,packaged fruit/vegetables,,,,,,
sausage,cream cheese ,,,,,,,,,
margarine,bottled water,,,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
other vegetables,domestic eggs,soap,pastry,,,,,,,
tropical fruit,brown bread,,,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
hard cheese,domestic eggs,,,,,,,,,
whole milk,roll products ,,,,,,,,,
organic products,root vegetables,,,,,,,,,
whole milk,whole milk,whole milk,yogurt,root vegetables,white bread,shopping bags,other vegetables,,,
soda,butter,,,,,,,,,
shopping bags,curd,,,,,,,,,
chicken,napkins,soda,,,,,,,,
root vegetables,whole milk,,,,,,,,,
yogurt,cookware,,,,,,,,,
beef,margarine,,,,,,,,,
pastry,whole milk,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
photo/film,root vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
yogurt,canned beer,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
canned vegetables,napkins,,,,,,,,,
turkey,whipped/sour cream,butter,,,,,,,,
chocolate,sugar,coffee,,,,,,,,
citrus fruit,whole milk,pastry,other vegetables,,,,,,,
sausage,specialty cheese,,,,,,,,,
tropical fruit,pork,,,,,,,,,
fruit/vegetable juice,white bread,,,,,,,,,
onions,canned fruit,,,,,,,,,
root vegetables,pastry,,,,,,,,,
yogurt,tropical fruit,whipped/sour cream,Instant food products,,,,,,,
berries,tropical fruit,whole milk,soda,,,,,,,
liver loaf,frozen meals,yogurt,domestic eggs,flower (seeds),coffee,,,,,
pork,yogurt,,,,,,,,,
liver loaf,citrus fruit,,,,,,,,,
hamburger meat,sugar,,,,,,,,,
canned beer,dessert,,,,,,,,,
pickled vegetables,soda,chewing gum,yogurt,,,,,,,
hamburger meat,pasta,,,,,,,,,
pork,rolls/buns,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
chewing gum,cream cheese ,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
soda,bottled water,,,,,,,,,
chicken,brown bread,,,,,,,,,
tropical fruit,oil,,,,,,,,,
oil,butter,,,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
other vegetables,butter milk,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
chocolate,whole milk,hamburger meat,other vegetables,,,,,,,
yogurt,salty snack,,,,,,,,,
photo/film,soda,cream cheese ,,,,,,,,
domestic eggs,curd cheese,,,,,,,,,
soda,red/blush wine,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
nut snack,whole milk,,,,,,,,,
pip fruit,white bread,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
curd,coffee,,,,,,,,,
domestic eggs,coffee,,,,,,,,,
liquor,bottled beer,other vegetables,,,,,,,,
root vegetables,yogurt,napkins,,,,,,,,
soda,frozen meals,,,,,,,,,
root vegetables,bottled beer,newspapers,margarine,domestic eggs,shopping bags,,,,,
soda,whole milk,,,,,,,,,
frankfurter,frozen meals,dishes,,,,,,,,
butter,whole milk,root vegetables,butter,,,,,,,
rolls/buns,bottled beer,dishes,pip fruit,whole milk,hard cheese,brown bread,soda,,,
onions,rolls/buns,,,,,,,,,
pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
dessert,other vegetables,whipped/sour cream,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
sausage,bottled water,,,,,,,,,
root vegetables,processed cheese,yogurt,,,,,,,,
canned beer,sliced cheese,long life bakery product,pasta,,,,,,,
meat,photo/film,,,,,,,,,
ham,chocolate,,,,,,,,,
meat,shopping bags,UHT-milk,,,,,,,,
frankfurter,margarine,,,,,,,,,
sausage,pastry,coffee,,,,,,,,
tropical fruit,white bread,rolls/buns,,,,,,,,
frankfurter,hard cheese,butter,,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
soda,bottled water,whipped/sour cream,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
pasta,newspapers,,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
chicken,beverages,coffee,,,,,,,,
tropical fruit,grapes,,,,,,,,,
other vegetables,rolls/buns,onions,whole milk,,,,,,,
rolls/buns,whole milk,,,,,,,,,
coffee,napkins,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
other vegetables,butter,pastry,UHT-milk,,,,,,,
whole milk,misc. beverages,,,,,,,,,
frankfurter,sausage,brown bread,canned beer,,,,,,,
soda,coffee,,,,,,,,,
shopping bags,flower (seeds),curd cheese,decalcifier,,,,,,,
yogurt,yogurt,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
pork,coffee,margarine,,,,,,,,
yogurt,whole milk,shopping bags,,,,,,,,
newspapers,newspapers,,,,,,,,,
coffee,rolls/buns,vinegar,,,,,,,,
frankfurter,bottled beer,other vegetables,bottled beer,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
butter,red/blush wine,,,,,,,,,
chicken,other vegetables,,,,,,,,,
newspapers,bottled water,,,,,,,,,
newspapers,whole milk,waffles,,,,,,,,
sausage,root vegetables,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sausage,tropical fruit,curd,,,,,,,,
coffee,whole milk,,,,,,,,,
pastry,roll products ,,,,,,,,,
ham,instant coffee,margarine,beef,long life bakery product,whole milk,house keeping products,semi-finished bread,,,
dessert,napkins,long life bakery product,,,,,,,,
curd,ice cream,,,,,,,,,
sparkling wine,chocolate,,,,,,,,,
cat food,whipped/sour cream,whole milk,,,,,,,,
semi-finished bread,rolls/buns,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
tropical fruit,cake bar,chocolate,,,,,,,,
soda,butter,rolls/buns,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
chicken,pastry,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
dental care,curd,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
other vegetables,liquor,,,,,,,,,
whole milk,pet care,herbs,soda,cat food,whole milk,,,,,
ham,brown bread,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
coffee,salty snack,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
dessert,chocolate,,,,,,,,,
yogurt,pastry,,,,,,,,,
newspapers,hard cheese,,,,,,,,,
whipped/sour cream,meat spreads,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
house keeping products,spread cheese,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
whole milk,white bread,,,,,,,,,
domestic eggs,pasta,,,,,,,,,
canned beer,whole milk,,,,,,,,,
bottled water,soda,,,,,,,,,
soda,red/blush wine,,,,,,,,,
meat,bottled water,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
whipped/sour cream,citrus fruit,,,,,,,,,
sausage,curd,,,,,,,,,
brown bread,soda,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
soda,dish cleaner,,,,,,,,,
frankfurter,waffles,,,,,,,,,
yogurt,canned beer,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
rolls/buns,frozen vegetables,hamburger meat,pork,,,,,,,
specialty bar,candy,root vegetables,ice cream,,,,,,,
root vegetables,yogurt,newspapers,,,,,,,,
root vegetables,butter,,,,,,,,,
yogurt,pet care,,,,,,,,,
canned beer,yogurt,,,,,,,,,
dishes,brown bread,,,,,,,,,
onions,pastry,shopping bags,,,,,,,,
beef,brown bread,,,,,,,,,
whole milk,beef,root vegetables,newspapers,,,,,,,
packaged fruit/vegetables,rolls/buns,domestic eggs,,,,,,,,
soft cheese,spices,,,,,,,,,
frozen meals,pasta,curd,,,,,,,,
root vegetables,sausage,cream cheese ,yogurt,detergent,,,,,,
female sanitary products,whole milk,hygiene articles,,,,,,,,
berries,curd,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
canned beer,ham,,,,,,,,,
sliced cheese,domestic eggs,,,,,,,,,
hamburger meat,butter milk,,,,,,,,,
sausage,bottled beer,,,,,,,,,
soda,sausage,whole milk,beverages,shopping bags,,,,,,
other vegetables,pickled vegetables,hard cheese,,,,,,,,
beef,salty snack,,,,,,,,,
sausage,grapes,bottled beer,,,,,,,,
red/blush wine,instant coffee,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
citrus fruit,curd,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
pip fruit,white bread,sliced cheese,,,,,,,,
pip fruit,coffee,UHT-milk,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
specialty chocolate,fruit/vegetable juice,fruit/vegetable juice,rolls/buns,,,,,,,
citrus fruit,shopping bags,chewing gum,cake bar,,,,,,,
root vegetables,soda,,,,,,,,,
liquor,cream,coffee,,,,,,,,
salt,margarine,,,,,,,,,
butter,canned fish,cream cheese ,,,,,,,,
other vegetables,frozen dessert,shopping bags,,,,,,,,
whole milk,white wine,UHT-milk,,,,,,,,
turkey,long life bakery product,,,,,,,,,
chocolate,bottled water,,,,,,,,,
pastry,cat food,,,,,,,,,
pork,frozen meals,,,,,,,,,
liver loaf,hamburger meat,sausage,whole milk,whipped/sour cream,other vegetables,white bread,whole milk,rolls/buns,,
tropical fruit,butter milk,,,,,,,,,
butter,margarine,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
canned beer,tropical fruit,root vegetables,other vegetables,,,,,,,
bottled water,rolls/buns,,,,,,,,,
pastry,soda,semi-finished bread,white bread,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
root vegetables,yogurt,canned vegetables,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
frozen meals,frozen dessert,,,,,,,,,
chicken,vinegar,,,,,,,,,
hamburger meat,ice cream,,,,,,,,,
pork,frozen vegetables,frozen meals,other vegetables,popcorn,oil,,,,,
root vegetables,specialty chocolate,,,,,,,,,
fish,root vegetables,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
butter,ice cream,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
ice cream,grapes,,,,,,,,,
misc. beverages,salty snack,,,,,,,,,
bottled water,bottled water,,,,,,,,,
yogurt,butter,cling film/bags,fruit/vegetable juice,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,curd,rolls/buns,whipped/sour cream,,,,,,,
yogurt,domestic eggs,,,,,,,,,
tropical fruit,curd,,,,,,,,,
processed cheese,canned vegetables,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
citrus fruit,chicken,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
onions,rolls/buns,,,,,,,,,
curd,grapes,soups,whole milk,,,,,,,
beef,butter,,,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
beef,other vegetables,,,,,,,,,
citrus fruit,tropical fruit,soda,bottled water,,,,,,,
citrus fruit,beef,coffee,,,,,,,,
bottled water,coffee,,,,,,,,,
sausage,berries,soda,yogurt,,,,,,,
pip fruit,mustard,whole milk,,,,,,,,
yogurt,herbs,,,,,,,,,
curd,processed cheese,,,,,,,,,
tropical fruit,butter,,,,,,,,,
cleaner,curd,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
onions,soda,,,,,,,,,
meat,citrus fruit,pip fruit,other vegetables,,,,,,,
waffles,instant coffee,,,,,,,,,
sausage,detergent,,,,,,,,,
other vegetables,hard cheese,chocolate,,,,,,,,
pip fruit,pip fruit,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
chicken,other vegetables,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
UHT-milk,ice cream,specialty bar,,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
fruit/vegetable juice,cream cheese ,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
beef,candy,,,,,,,,,
organic sausage,other vegetables,,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
canned beer,turkey,,,,,,,,,
canned beer,sliced cheese,cake bar,,,,,,,,
sausage,root vegetables,,,,,,,,,
sausage,domestic eggs,mayonnaise,soda,,,,,,,
ham,yogurt,,,,,,,,,
whole milk,berries,canned beer,sausage,chicken,canned beer,zwieback,beverages,,,
sausage,long life bakery product,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
meat,pasta,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
pip fruit,spread cheese,misc. beverages,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
beef,whole milk,,,,,,,,,
beverages,other vegetables,,,,,,,,,
other vegetables,tropical fruit,sweet spreads,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
pork,sweet spreads,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
domestic eggs,whole milk,artif. sweetener,,,,,,,,
soda,whole milk,,,,,,,,,
newspapers,whipped/sour cream,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
bottled water,cream cheese ,pip fruit,hygiene articles,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
whole milk,whole milk,,,,,,,,,
herbs,canned beer,,,,,,,,,
other vegetables,salt,other vegetables,,,,,,,,
organic sausage,pip fruit,newspapers,whipped/sour cream,,,,,,,
berries,brown bread,,,,,,,,,
beverages,pork,,,,,,,,,
citrus fruit,misc. beverages,misc. beverages,,,,,,,,
pip fruit,pickled vegetables,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
sausage,tropical fruit,sausage,frankfurter,cream cheese ,other vegetables,hard cheese,chocolate,flour,,
canned beer,liquor,,,,,,,,,
pet care,pork,,,,,,,,,
beef,tropical fruit,,,,,,,,,
berries,whole milk,,,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
bottled water,tropical fruit,,,,,,,,,
beverages,frozen meals,,,,,,,,,
misc. beverages,domestic eggs,,,,,,,,,
pip fruit,specialty bar,long life bakery product,,,,,,,,
citrus fruit,flower (seeds),,,,,,,,,
ham,tropical fruit,frozen meals,sparkling wine,,,,,,,
UHT-milk,curd,flower (seeds),,,,,,,,
pip fruit,frozen vegetables,bottled water,,,,,,,,
canned beer,baking powder,,,,,,,,,
bottled water,softener,rolls/buns,,,,,,,,
onions,coffee,,,,,,,,,
chicken,coffee,newspapers,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
frankfurter,sausage,yogurt,soda,coffee,,,,,,
pastry,vinegar,salty snack,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
hamburger meat,seasonal products,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pork,yogurt,,,,,,,,,
white bread,specialty chocolate,,,,,,,,,
yogurt,male cosmetics,sugar,salt,,,,,,,
fruit/vegetable juice,beverages,,,,,,,,,
canned beer,long life bakery product,dish cleaner,candy,,,,,,,
citrus fruit,domestic eggs,bottled water,,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
root vegetables,brown bread,domestic eggs,,,,,,,,
finished products,yogurt,bottled beer,bottled water,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
yogurt,whole milk,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
bottled beer,whole milk,salty snack,other vegetables,,,,,,,
tropical fruit,hygiene articles,candles,,,,,,,,
whole milk,grapes,,,,,,,,,
soda,other vegetables,cream cheese ,,,,,,,,
soda,soda,,,,,,,,,
chicken,UHT-milk,napkins,,,,,,,,
sausage,pastry,bottled beer,UHT-milk,,,,,,,
pip fruit,curd,pip fruit,prosecco,,,,,,,
whole milk,berries,specialty chocolate,white bread,,,,,,,
shopping bags,whole milk,whole milk,whole milk,detergent,flour,,,,,
pastry,rolls/buns,,,,,,,,,
rolls/buns,seasonal products,other vegetables,white bread,,,,,,,
ham,specialty chocolate,soft cheese,,,,,,,,
meat,citrus fruit,chocolate,pastry,rolls/buns,,,,,,
yogurt,frozen meals,,,,,,,,,
organic sausage,specialty chocolate,,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
specialty chocolate,liquor,,,,,,,,,
rolls/buns,pastry,butter,processed cheese,other vegetables,whole milk,chocolate,hard cheese,butter,,
citrus fruit,newspapers,,,,,,,,,
specialty bar,candy,margarine,,,,,,,,
meat,liquor,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
pastry,liquor,shopping bags,,,,,,,,
root vegetables,root vegetables,frozen vegetables,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
UHT-milk,processed cheese,,,,,,,,,
coffee,yogurt,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
beef,whole milk,,,,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
soda,tropical fruit,,,,,,,,,
sausage,whole milk,,,,,,,,,
pip fruit,flour,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled water,yogurt,,,,,,,,,
beverages,pastry,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
root vegetables,skin care,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
UHT-milk,yogurt,napkins,,,,,,,,
candy,frozen meals,,,,,,,,,
beef,whole milk,pet care,citrus fruit,,,,,,,
brown bread,rolls/buns,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
root vegetables,sausage,brown bread,UHT-milk,sliced cheese,frozen vegetables,white bread,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
condensed milk,rolls/buns,organic products,,,,,,,,
ham,frankfurter,bottled water,shopping bags,specialty cheese,,,,,,
whole milk,beef,,,,,,,,,
detergent,newspapers,other vegetables,ketchup,,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
cream cheese ,soda,,,,,,,,,
liquor,dessert,waffles,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
other vegetables,pip fruit,frozen vegetables,,,,,,,,
oil,shopping bags,,,,,,,,,
onions,citrus fruit,white bread,dessert,shopping bags,,,,,,
soda,chewing gum,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
spices,cookware,,,,,,,,,
whole milk,other vegetables,rolls/buns,Instant food products,,,,,,,
soda,herbs,canned beer,soda,seasonal products,dishes,yogurt,mayonnaise,flower (seeds),,
hygiene articles,coffee,,,,,,,,,
coffee,soda,photo/film,domestic eggs,,,,,,,
beef,condensed milk,,,,,,,,,
tropical fruit,oil,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
beef,other vegetables,,,,,,,,,
pork,yogurt,,,,,,,,,
yogurt,chewing gum,shopping bags,,,,,,,,
pot plants,frozen vegetables,coffee,,,,,,,,
pork,other vegetables,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
berries,sugar,,,,,,,,,
curd,cereals,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,pastry,,,,,,,,,
sausage,bottled beer,,,,,,,,,
whole milk,newspapers,,,,,,,,,
soda,domestic eggs,,,,,,,,,
pastry,pastry,,,,,,,,,
chicken,coffee,,,,,,,,,
canned beer,sugar,,,,,,,,,
coffee,butter,whipped/sour cream,other vegetables,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
whole milk,pork,,,,,,,,,
hamburger meat,soda,hard cheese,,,,,,,,
frankfurter,yogurt,,,,,,,,,
frankfurter,sausage,margarine,rolls/buns,bottled beer,mustard,,,,,
detergent,liquor (appetizer),,,,,,,,,
bottled water,whole milk,,,,,,,,,
yogurt,whole milk,,,,,,,,,
whole milk,canned beer,,,,,,,,,
bottled water,root vegetables,rolls/buns,whole milk,coffee,,,,,,
syrup,whole milk,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
salty snack,napkins,yogurt,brown bread,,,,,,,
tropical fruit,meat,pip fruit,salt,pot plants,,,,,,
whole milk,ham,,,,,,,,,
other vegetables,pork,herbs,oil,,,,,,,
other vegetables,soda,whole milk,sweet spreads,,,,,,,
pork,other vegetables,,,,,,,,,
beef,ice cream,other vegetables,,,,,,,,
soda,coffee,salty snack,,,,,,,,
pastry,baking powder,butter,margarine,curd,dishes,,,,,
turkey,whipped/sour cream,,,,,,,,,
processed cheese,yogurt,,,,,,,,,
grapes,rolls/buns,pot plants,,,,,,,,
sausage,bottled water,,,,,,,,,
curd,whole milk,,,,,,,,,
pip fruit,frozen fish,,,,,,,,,
sausage,dish cleaner,,,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
shopping bags,soda,,,,,,,,,
ham,white wine,shopping bags,,,,,,,,
white bread,photo/film,,,,,,,,,
meat,whole milk,whipped/sour cream,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
pip fruit,cereals,,,,,,,,,
meat,cling film/bags,curd,,,,,,,,
pork,butter,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
butter,photo/film,,,,,,,,,
pip fruit,pastry,,,,,,,,,
soda,frozen dessert,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
sausage,liver loaf,dish cleaner,white bread,canned beer,dishes,white wine,brown bread,,,
curd,yogurt,misc. beverages,pickled vegetables,,,,,,,
soda,newspapers,,,,,,,,,
soda,soda,,,,,,,,,
ice cream,pork,,,,,,,,,
sausage,baking powder,canned beer,brandy,white bread,curd,bottled beer,canned beer,,,
bottled beer,other vegetables,butter,,,,,,,,
pet care,chocolate,,,,,,,,,
margarine,canned vegetables,,,,,,,,,
chicken,cream cheese ,,,,,,,,,
dessert,jam,,,,,,,,,
whole milk,whole milk,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
newspapers,margarine,,,,,,,,,
other vegetables,baking powder,,,,,,,,,
root vegetables,bottled water,napkins,shopping bags,rice,,,,,,
sausage,dessert,,,,,,,,,
beef,frozen meals,pastry,white wine,whipped/sour cream,,,,,,
frankfurter,whole milk,other vegetables,,,,,,,,
coffee,white wine,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
baking powder,bottled water,,,,,,,,,
root vegetables,whole milk,potato products,,,,,,,,
bottled beer,newspapers,,,,,,,,,
frozen vegetables,bottled beer,,,,,,,,,
berries,sugar,female sanitary products,dessert,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
bottled water,yogurt,spices,fruit/vegetable juice,,,,,,,
berries,canned fish,waffles,,,,,,,,
meat spreads,tropical fruit,rolls/buns,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
whipped/sour cream,house keeping products,,,,,,,,,
chicken,white bread,,,,,,,,,
berries,pastry,soda,,,,,,,,
coffee,bottled beer,shopping bags,,,,,,,,
frankfurter,canned fish,,,,,,,,,
citrus fruit,other vegetables,fruit/vegetable juice,specialty bar,canned beer,,,,,,
bottled beer,newspapers,napkins,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
frankfurter,salty snack,dental care,,,,,,,,
dessert,other vegetables,,,,,,,,,
sausage,soda,,,,,,,,,
beverages,pastry,,,,,,,,,
whipped/sour cream,waffles,,,,,,,,,
pastry,whipped/sour cream,,,,,,,,,
pip fruit,bottled water,salt,,,,,,,,
